body,fichatecnica,localidad,price,title,url
"
CAMIONETA IMPECABLE UNICA EN ESTE ESTADO
","

Año
2004


Kilómetros
120.000 km


Marca
Peugeot


Modelo
307


Versión
2.0


Motor
2.0


Transmisión
Manual


Color
Azul oscuro


Tipo de combustible
Diésel


Puertas
5





","





El vehículo está en Durazno
",10.900,"
		Peugeot 307 2.0 Diesel
	",https://auto.mercadolibre.com.uy/MLU-471402373-peugeot-307-20-diesel-_JM#position=4&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Al día a mi nombre titulo y libreta . Motor toyota 2.0 turbo declarado en el titulo y la libreta .En buen estado , con detalles de chapa se vende porque herede un vehiculo nuevo .
","

Año
1994


Kilómetros
1 km


Marca
Volkswagen


Modelo
Quantum


Versión
Rural


Tipo de carrocería
Rural


Motor
2.0


Color
Azul


Tipo de combustible
Diésel


Puertas
5





","





El vehículo está en Jardines Hipódromo - Montevideo
",3.600,"
		Volkswagen Quantum 94 Con Toyota 2.0 Turbo
	",https://auto.mercadolibre.com.uy/MLU-472846669-volkswagen-quantum-94-con-toyota-20-turbo-_JM#position=44&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Lo baje 800 dolares por que mis perritos lo rayaron en el capo y paragolpes delantero, con ese dinero que baje se arregla y queda como nuevo! ESCUCHO OFERTAS100% Financiado ese valor, al contado puedo escuchar propuestas.#### PAGO DIFERENCIA X OTRO AUTO ####El auto está en perfectas condiciones, servís cada 5 mil k, al día y con documentación en regla y factura de compra ok.(Detalles de chapa mencionado arriba)Es un auto muy económico, 17 k x litros, bajo costo de mantenimiento, seguro TOTAL en bse $20000 patente 6 cuotas de $2000.Es ideal como primer auto.Muy cómodo y ágil manejo.SOY ÚNICO DUEÑO !!#### PAGO DIFERENCIA X OTRO AUTO ####2 airbag Aire acondicionadoFrenos ABS+EBD, anclajes ISOFIX para sillas infantiles, cuatro apoyacabezas y cinturones inerciales de tres puntas (central trasero abdominal), dirección hidráulica, pack eléctrico (levantavidrios, espejos y bloqueo), faros antiniebla delanteros y trasero, radio con AM/FM/CD/MP3/USB/Aux-In/SD, sensores de estacionamiento traseros, luces de circulación diurnas, alarma, computadora de a bordo, y llantas de aleación de 14 pulgadas sobre neumáticos 165/60 R14, entre otros ítems.La verdad es un auto muy lindo.NO ES DIÉSEL, NOSE POR QUE FIGURA COMO DIÉSEL EN LA PUBLICACIÓN.Posibilidad de financiación.No dude en consultar.
","

Año
2015


Kilómetros
105.000 km


Marca
Chery


Modelo
Chery QQ


Versión
1.0


Tipo de carrocería
Hatchback


Motor
1.0


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
5





","





El vehículo está en Lagomar - Canelones
",6.700,"
		Chery Chery QQ 1.0
	",https://auto.mercadolibre.com.uy/MLU-471191229-chery-chery-qq-10-2015-_JM#position=33&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
ENTERO O X PARTES MOTOR ISUZU 1.5. CARROCERIA COMPLETA LIBRETA CHAPAS. EL QUE PREGUNTE X LOS DOCUMENTOS SE TIENE QUE LLEVAR TODO LO QUE QUEDA DEL AUTO. FIORINO FURGON AÑO 90 NAFTA 1.3 MOTOR UN CAÑO EMBRAGUE ROTO LIBRETA Y LAS 2 CHAPAS QUIERO ALGO ANDANDO X ELLA O $45.000... EL 309 NAFTA ENTERO O X PARTES LIBRETA Y CHAPA 095657624 WSP
","

Año
1990


Kilómetros
250.000 km


Marca
Chevrolet


Modelo
Monza


Versión
1.5 isuzu x partes


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Playa Pascual - San José
",135.981,"
		Chevrolet Monza 1.5 Diesel Isuzu
	",https://auto.mercadolibre.com.uy/MLU-471200179-chevrolet-monza-15-diesel-isuzu-_JM#position=41&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
exelente camioneta sana de todo
","

Año
2011


Kilómetros
270 km


Marca
Toyota


Modelo
Hilux


Versión
2.5 Cs Dx Tdi 120cv 4x2


Tipo de carrocería
Pick-Up


Motor
2.5


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Rivera
",26.500,"
		Toyota Hilux 2.5 Cs Dx Tdi 120cv 4x2
	",https://auto.mercadolibre.com.uy/MLU-472184209-toyota-hilux-25-sr-tdi-120cv-4x2-2011-_JM#position=9&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
KIA BESTA 1996 MINIBUS SEMIFURGON MINIVAN6 PASAJEROS-2.2 DISELVALOR IMPECABLE AL DIA USD 9800 095275399HOY AL DÍA - PIDO USD 8500 LIBRETA Y TITULO -UBICABLE INCLUSO HAY STICKER CON TELÉFONO DEL FIRMANTEPERMUTO POR VEHÍCULO NAFTA TAMBIÉNPERMUTO POR MENOS VALOR O PELO A PELO O CON DEUDA IGUALNO PONGO ARRIBA ES UNA EXCELENTE HERRAMIENTA .
","

Año
1996


Kilómetros
245.000 km


Marca
Kia


Modelo
Besta


Versión
2.2 DIESEL


Tipo de carrocería
Minivan


Motor
2.2


Transmisión
Manual


Color
GRIS PLATA


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Castro - Montevideo
",8.500,"
		Kia Besta Kia Minibus Disel 2.2 Furgon H1 1996 6 Pasajer
	",https://auto.mercadolibre.com.uy/MLU-472479692-kia-besta-kia-minibus-disel-22-furgon-h1-1996-6-pasajer-_JM#position=21&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Acepto permuta, "" la vendo x no usar"" en permuta el precio cambia, nafta o diesel (si me interesa) (auto con direccion y aire preferentemente) ""no chino"" ;""frontera"" con diferencia a mi favor pelo a pelo nada. Todo al dia. Mande watsap con fotos del auto q lo vemos. Mariadores y complicados abstenerse!!!! El negocio es facil mi mecanico ve su vehiculo y el suyo el mio si esta todo bien se arregla el dinero y ya se va al escribano sin misterios!!!! Quedo a las ordenes!! Muchas gracias.
","

Año
1997


Kilómetros
349.000 km


Marca
Chevrolet


Modelo
S10


Versión
2.5 turbo diesel std


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Punta Carretas - Montevideo
",8.700,"
		Chevrolet S10 2.5 turbo diesel std
	",https://auto.mercadolibre.com.uy/MLU-472403292-chevrolet-s10-25-turbo-diesel-_JM#position=24&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
CAMIONETA FURGÓN CON VIDRIOS. CON MOTOR MERCEDES.EXCELENTE ESTADO CHASIS, MOTOR, CHAPA Y PINTURA.TODO AL DÍA ,TITULO, LIBRETA A MI NOMBRE ,  PRONTA PARA TODO USO DE TRABAJO , PASEO Y CAMPING. MUY SIMPLE, ECONÓMICA Y CONFIABLESEIS NEUMÁTICOS EXCELENTE ESTADOACEPTO FINANCIACIÓN HASTA EL 50% CON GARANTÍA A UN AÑO.ESCUCHO OFERTAS RAZONABLES DE CONTADO.
","

Año
1995


Kilómetros
181.818 km


Marca
Peugeot


Modelo
Boxer


Versión
camioneta


Tipo de carrocería
Rural


Motor
MERCEDES 2.2D


Transmisión
Manual


Color
Bordeau


Tipo de combustible
Diésel


Puertas
5





","





El vehículo está en Solymar - Ciudad De La Costa - Canelones
",10.500,"
		Peugeot Boxer
	",https://auto.mercadolibre.com.uy/MLU-472718216-peugeot-boxer-_JM#position=37&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
MITSUBISHI L200 4X4 ECHA A NUEVA NO LE QUEDO NADA PARA HACERLE TRABAJO REALIZADO X RECONOCIDOS MECANICOS DE ROCHA . A TODA PRUEBA. TOMO VEHICULO DE MENOR VALOR CON DIFERENCIA CONTADO. PREFERENTEMENTE AUTO AUTOMATICO.
","

Año
1996


Kilómetros
390 km


Marca
Mitsubishi


Modelo
L200


Versión
4x4 DOBLE  CABINA


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Rocha
",14.900,"
		Mitsubishi L200 4x4 DOBLE  CABINA
	",https://auto.mercadolibre.com.uy/MLU-472140717-mitsubishi-l200-4x4-doble-cabina-_JM#position=7&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
VENDO TODOS LOS REPUESTOS DE ESTE AUTO PEUGEOT 306 SL.NAFTA.
","

Año
1995


Kilómetros
1.111 km


Marca
Piaggio


Modelo
peugeot


Versión
3.0 6


Tipo de carrocería
Sedán


Motor
1.4


Transmisión
Manual


Color
Gris claro


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Colón - Montevideo
",100,"
		Vendo Peugeot 306 X Partes. Consulten
	",https://auto.mercadolibre.com.uy/MLU-471706385-vendo-peugeot-306-x-partes-consulten-_JM#position=23&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Vendo Cevrolet corsa diésel 1.7 NO FUE TAXI. segundo dueño, el auto esta en excelente estado tal cual se ve en las fotos.Todo al día y a mi nombre . POSIBLE PERMUTA
","

Año
2006


Kilómetros
250 km


Marca
Chevrolet


Modelo
Corsa Classic


Versión
1.7 D Gl


Tipo de carrocería
Sedán


Motor
1.7


Potencia
60 hp


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Punta Rieles - Montevideo
",7.500,"
		Chevrolet Corsa Classic 1.7 D Gl
	",https://auto.mercadolibre.com.uy/MLU-472627457-chevrolet-corsa-diesel-17-_JM#position=12&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
